English,‘Ōlelo Hawai‘i
hello,aloha
goodbye,aloha
What's your name?,‘O wai kou inoa?
My name is ___.,‘O_____ koʻu inoa.
Where are you from?,No hea mai ‘oe?
I'm from ___.,No____mai iaʻu.
welcome,welina
come in,E komo mai
Do you speak English?,‘Ōlelo Pelekania paha ‘oe?
Do you speak Hawaiian?,ʻŌlelo Hawaiʻi paha ʻoe?
sorry,e kala mai
please,e ‘oluʻolu
thank you,mahalo
not much,ʻaʻole nui
How are you going?,Pehea ‘oe?
I'm fine,maikaʻi ‘au
How are you going?,Pehea ʻoe e hele nei?
Are you okay?,Maikaʻi paha ‘oe?
I love you,aloha au iā ‘oe
good morning,aloha kakahiaka
good afternoon,aloha awakea
goodnight,e hiamoe pono
yes,ʻae
no,ʻaʻole
excuse me,e kala mai iaʻu
zero,ʻole
one,ʻekahi
two,ʻelua
three,ʻekolu
four,ʻehā
five,ʻelima
six,ʻeono
seven,ʻehiku
eight,ʻewalu
nine,ʻeiwa
ten,ʻumi
